
time,gFx,gFy,gFz,Bx,By,Bz,Azimuth,Pitch,Roll,
15:11:17:657,0.0112,0.0040,0.9999,18.4625,33.3500,-23.9875,331.2151,-0.2362,0.5390,
15:11:17:672,0.0112,0.0040,0.9999,18.2500,32.8125,-24.6875,331.2151,-0.2362,0.5390,
15:11:17:719,0.0124,0.0043,0.9990,18.2500,32.8125,-24.6875,331.2151,-0.2362,0.5390,
15:11:17:721,0.0124,0.0043,0.9990,18.2500,32.8125,-24.6875,331.2134,-0.2371,0.5360,
15:11:17:752,0.0124,0.0043,0.9990,17.8750,32.6000,-26.2625,331.2134,-0.2371,0.5360,
15:11:17:779,0.0115,0.0035,0.9990,17.8750,32.6000,-26.2625,331.2134,-0.2371,0.5360,
15:11:17:781,0.0115,0.0035,0.9990,17.8750,32.6000,-26.2625,331.2132,-0.2401,0.5335,
15:11:17:811,0.0115,0.0035,0.9990,18.0000,33.7125,-26.6500,331.2132,-0.2401,0.5335,
15:11:17:859,0.0089,0.0015,1.0000,18.0000,33.7125,-26.6500,331.2132,-0.2401,0.5335,
15:11:17:860,0.0089,0.0015,1.0000,18.0000,33.7125,-26.6500,331.2122,-0.2409,0.5302,
15:11:17:869,0.0089,0.0015,1.0000,18.0375,33.6750,-26.0625,331.2122,-0.2409,0.5302,
15:11:17:920,0.0114,0.0034,1.0001,18.0375,33.6750,-26.0625,331.2122,-0.2409,0.5302,
15:11:17:920,0.0114,0.0034,1.0001,18.0375,33.6750,-26.0625,331.2105,-0.2410,0.5285,
15:11:17:949,0.0114,0.0034,1.0001,18.0375,32.7750,-24.0875,331.2105,-0.2410,0.5285,
15:11:17:982,0.0113,0.0026,0.9990,18.0375,32.7750,-24.0875,331.2105,-0.2410,0.5285,
15:11:17:983,0.0113,0.0026,0.9990,18.0375,32.7750,-24.0875,331.2053,-0.2419,0.5271,
15:11:18:008,0.0113,0.0026,0.9990,18.2250,33.1125,-25.7250,331.2053,-0.2419,0.5271,
15:11:18:063,0.0562,0.0015,0.9994,18.2250,33.1125,-25.7250,331.2053,-0.2419,0.5271,
15:11:18:067,0.0562,0.0015,0.9994,18.3625,33.0500,-25.7500,331.2053,-0.2419,0.5271,
15:11:18:070,0.0562,0.0015,0.9994,18.3625,33.0500,-25.7500,329.5916,-0.2254,0.5368,
15:11:18:128,0.0037,0.0245,0.9995,18.3625,33.0500,-25.7500,329.5916,-0.2254,0.5368,
15:11:18:130,0.0037,0.0245,0.9995,18.3625,33.0500,-25.7500,326.1599,-0.1893,0.5499,
15:11:18:151,0.0037,0.0245,0.9995,21.3125,33.7625,-26.7875,326.1599,-0.1893,0.5499,
15:11:18:185,0.0153,-0.0161,1.0008,21.3125,33.7625,-26.7875,326.1599,-0.1893,0.5499,
15:11:18:186,0.0153,-0.0161,1.0008,21.3125,33.7625,-26.7875,323.2874,-0.1582,0.5586,
15:11:18:210,0.0153,-0.0161,1.0008,23.0625,34.1750,-26.2500,323.2874,-0.1582,0.5586,
15:11:18:244,-0.0057,-0.0183,1.0006,23.0625,34.1750,-26.2500,323.2874,-0.1582,0.5586,
15:11:18:245,-0.0057,-0.0183,1.0006,23.0625,34.1750,-26.2500,320.2474,-0.1267,0.5681,
15:11:18:280,-0.0057,-0.0183,1.0006,25.4000,34.1125,-25.6875,320.2474,-0.1267,0.5681,
15:11:18:325,-0.0048,-0.0150,0.9999,25.4000,34.1125,-25.6875,320.2474,-0.1267,0.5681,
15:11:18:326,-0.0048,-0.0150,0.9999,25.4000,34.1125,-25.6875,316.1354,-0.0832,0.5741,
15:11:18:350,-0.0048,-0.0150,0.9999,27.8000,33.9000,-26.3500,316.1354,-0.0832,0.5741,
15:11:18:386,0.0068,-0.0316,0.9990,27.8000,33.9000,-26.3500,316.1354,-0.0832,0.5741,
15:11:18:387,0.0068,-0.0316,0.9990,27.8000,33.9000,-26.3500,312.4049,-0.0444,0.5801,
15:11:18:410,0.0068,-0.0316,0.9990,30.2750,31.4000,-27.2875,312.4049,-0.0444,0.5801,
15:11:18:447,0.0465,0.0141,0.9994,30.2750,31.4000,-27.2875,312.4049,-0.0444,0.5801,
15:11:18:448,0.0465,0.0141,0.9994,30.2750,31.4000,-27.2875,307.6371,0.0038,0.5826,
15:11:18:481,0.0465,0.0141,0.9994,33.7750,30.7375,-29.7250,307.6371,0.0038,0.5826,
15:11:18:529,0.0465,0.0141,0.9994,33.7750,30.7375,-29.7250,299.8398,0.0843,0.5745,
15:11:18:532,0.0146,-0.0384,0.9996,33.7750,30.7375,-29.7250,299.8398,0.0843,0.5745,
15:11:18:551,0.0146,-0.0384,0.9996,37.8375,28.2500,-32.2625,299.8398,0.0843,0.5745,
15:11:18:592,0.0170,0.0160,0.9995,37.8375,28.2500,-32.2625,299.8398,0.0843,0.5745,
15:11:18:594,0.0170,0.0160,0.9995,37.8375,28.2500,-32.2625,294.0735,0.1393,0.5594,
15:11:18:611,0.0170,0.0160,0.9995,42.1250,25.4500,-32.8750,294.0735,0.1393,0.5594,
15:11:18:652,-0.0316,-0.0079,1.0004,42.1250,25.4500,-32.8750,294.0735,0.1393,0.5594,
15:11:18:654,-0.0316,-0.0079,1.0004,42.1250,25.4500,-32.8750,289.5115,0.1841,0.5448,
15:11:18:681,-0.0316,-0.0079,1.0004,44.5000,20.9625,-35.1125,289.5115,0.1841,0.5448,
15:11:18:712,-0.0023,0.0199,0.9996,44.5000,20.9625,-35.1125,289.5115,0.1841,0.5448,
15:11:18:714,-0.0023,0.0199,0.9996,44.5000,20.9625,-35.1125,286.0112,0.2142,0.5291,
15:11:18:752,-0.0023,0.0199,0.9996,46.2375,17.0500,-34.7500,286.0112,0.2142,0.5291,
15:11:18:792,0.0327,-0.0098,1.0009,46.2375,17.0500,-34.7500,286.0112,0.2142,0.5291,
15:11:18:795,0.0327,-0.0098,1.0009,46.2375,17.0500,-34.7500,281.9946,0.2463,0.5130,
